2023,4,0,0,0,1,0,0,0,26.62,146.3,4168,3624,33.9,64.6,124.7,0.866025,-0.5,0.869273,544,22.61
2020,5,0,0,0,1,0,0,0,85.48,62,5220,5058,29.7,67.6,142.9,0.5,-0.866025,0.96878,162,90
2024,4,0,0,0,1,0,0,0,67.61,65,3187,3597,28.8,65.6,38,0.866025,-0.5,1.12829,-410,70
2021,3,0,0,0,1,0,0,0,88.47,133.1,5796,5565,32.9,58,66.7,1,6.12303e-017,0.959979,231,90
2023,8,0,1,1,0,1,0,0,200,397.8,3807,3216,25.4,77.2,64.2,-0.866025,-0.5,0.844538,591,200
2021,10,0,1,1,0,1,0,0,200,313.6,3019,2384,31.4,87.5,51.7,-0.866025,0.5,0.789404,635,200
2023,11,1,1,1,0,0,0,0,46.18,34.2,1541,1669,18.8,52.6,43.9,-0.5,0.866025,1.08236,-128,49.91
2018,5,0,0,0,1,0,0,0,21.15,66.4,5361,5536,30.8,67,49.3,0.5,-0.866025,1.03245,-175,20.33
2019,1,1,1,1,0,0,0,0,32.46,68.9,3759,4419,22,65.2,109.6,0.5,0.866025,1.17527,-660,34.62
2018,6,0,0,0,1,0,0,0,103.43,83.9,3681,4222,32.2,64.3,34.4,1.22461e-016,-1,1.14666,-541,101.15
2018,7,0,1,1,0,1,0,0,90,274.4,3538,3000.04,25.8,76.9,66.7,-0.5,-0.866025,0.847708,537.963,90
2019,2,1,1,1,0,0,0,0,49.98,61.9,4861,5459,19.1,46.5,125.7,0.866025,0.5,1.12279,-598,50
2024,12,1,1,1,0,0,0,0,110,48.6,4192,4615,23.5,60.7,23.7,-2.44921e-016,1,1.10064,-423,107.5
2022,11,1,1,1,0,0,0,0,90,66.7,3091,3410,17.7,58.3,64.1,-0.5,0.866025,1.10285,-319,90
2022,8,0,1,1,0,1,0,0,50.03,247,3104,3104,28.1,94.1,45.1,-0.866025,-0.5,0.999678,0,46.89
2024,12,1,1,1,0,0,0,0,29.56,60.8,1257,1180,20.4,58.5,62,-2.44921e-016,1,0.937997,77,25.05
2022,10,0,1,1,0,1,0,0,60.62,378.9,2874,2102,31.2,80.3,37.6,-0.866025,0.5,0.73113,772,57
2022,10,0,1,1,0,1,0,0,12.89,389.1,3993,3626,27.6,84.6,30.6,-0.866025,0.5,0.907862,367,14.51
2020,8,0,1,1,0,1,0,0,60.21,300.7,3447,3261,30,78.7,22.4,-0.866025,-0.5,0.945766,186,56.08
2020,2,1,1,1,0,0,0,0,50,39.7,5651,6404,22.4,64.4,57.2,0.866025,0.5,1.13305,-753,50
2022,3,0,0,0,1,0,0,0,109.85,96.4,3410,4361,36.2,53.5,64.7,1,6.12303e-017,1.27851,-951,110
2021,5,0,0,0,1,0,0,0,10,56.3,2712,3037,28.7,55.7,51.3,0.5,-0.866025,1.11942,-325,12.28
2021,1,1,1,1,0,0,0,0,91.73,24.1,4019,3436,17.2,47.8,54.9,0.5,0.866025,0.854726,583,90.82
2019,5,0,0,0,1,0,0,0,137.35,71.5,3597,3012,35.1,58.3,121.4,0.5,-0.866025,0.837132,585,137.45
2019,3,0,0,0,1,0,0,0,110,134,4931,4248,29.6,61.5,75.4,1,6.12303e-017,0.861314,683,110
2024,10,0,1,1,0,1,0,0,77.38,310.4,1335,1576,27.3,74.7,44.2,-0.866025,0.5,1.17964,-241,75.66
2022,8,0,1,1,0,1,0,0,15.74,397.8,1998,1854,28.7,93.9,15.1,-0.866025,-0.5,0.927464,144,15
2024,6,0,0,0,1,0,0,0,46.71,68.9,1950,1682,30.8,45,92.9,1.22461e-016,-1,0.862122,268,42.55
2021,4,0,0,0,1,0,0,0,90,102.3,4210,3165,33.3,51.4,121.8,0.866025,-0.5,0.751603,1045,85.32
2019,11,1,1,1,0,0,0,0,15.67,77.7,2004,2267,15.7,58.9,68.2,-0.5,0.866025,1.13067,-263,16.64
2018,10,0,1,1,0,1,0,0,20.51,381.4,3452,2627,30.6,78.5,28.6,-0.866025,0.5,0.760788,825,13.28
2021,3,0,0,0,1,0,0,0,200,97,2611,2930,35.1,43.5,58,1,6.12303e-017,1.12175,-319,200
2020,11,1,1,1,0,0,0,0,12.16,65.2,2056,1544,23.9,46.1,5.3,-0.5,0.866025,0.750608,512,10
