Date,Year,Month,Season,Crop,Region,Previous_Price,Rainfall_mm,Supply_tonnes,Demand_tonnes,Temperature_C,Humidity_Percent,Market_Distance_km,Current_Price
2018-01-01,2018,1,Winter,Rice,Dhaka,110.0,77.8,1449.0,1709.0,20.9,65.0,11.0,110.0
2018-01-01,2018,1,Winter,Cauliflower,Dhaka,15.0,40.7,2002.0,2437.0,22.4,69.8,148.0,15.0
2018-01-01,2018,1,Winter,Potato,Dhaka,30.1,77.9,1300.0,1454.0,24.0,69.4,71.6,29.25
2018-01-02,2018,1,Winter,Chickpea,Rangpur,112.35,62.6,4220.0,3537.0,20.4,71.1,125.1,111.74
2018-01-02,2018,1,Winter,Chickpea,Khulna,134.23,61.9,1921.0,2444.0,19.9,49.5,56.9,138.67
2018-01-02,2018,1,Winter,Tomato,Comilla,63.96,14.0,3122.0,2789.0,23.3,74.2,70.4,61.51
2018-01-02,2018,1,Winter,Wheat,Sylhet,90.0,29.0,4340.0,5396.0,18.0,66.1,7.3,90.0
2018-01-02,2018,1,Winter,Potato,Rajshahi,42.8,63.8,4525.0,4456.0,15.3,73.4,49.6,43.45
2018-01-02,2018,1,Winter,Lentil,Sylhet,200.0,78.7,2571.0,3011.0,24.1,69.4,26.7,197.75
2018-01-03,2018,1,Winter,Onion,Dhaka,50.49,21.8,4437.0,3390.0,24.9,71.6,113.6,52.41
2018-01-03,2018,1,Winter,Chickpea,Khulna,83.93,42.2,4604.0,4505.0,21.2,65.7,58.8,83.36
2018-01-03,2018,1,Winter,Cauliflower,Gazipur,17.64,51.6,4621.0,5611.0,17.4,65.6,66.4,15.0
2018-01-03,2018,1,Winter,Chickpea,Barisal,147.36,57.3,5138.0,4449.0,20.6,53.7,145.9,145.5
2018-01-03,2018,1,Winter,Wheat,Khulna,90.0,41.1,2415.0,1881.0,18.6,58.0,115.6,90.0
2018-01-04,2018,1,Winter,Lentil,Barisal,200.0,40.4,2219.0,2021.0,18.3,59.5,140.1,200.0
2018-01-04,2018,1,Winter,Onion,Dhaka,36.12,42.8,1122.0,1325.0,24.4,62.9,112.0,38.26
2018-01-04,2018,1,Winter,Cauliflower,Gazipur,15.33,41.9,5270.0,5173.0,16.5,57.7,123.1,15.51
2018-01-04,2018,1,Winter,Tomato,Gazipur,65.45,23.8,4662.0,3330.0,17.3,63.0,30.1,62.69
2018-01-04,2018,1,Winter,Tomato,Rangpur,64.35,62.8,1793.0,2167.0,21.0,56.0,138.6,62.88
2018-01-04,2018,1,Winter,Lentil,Rajshahi,200.0,79.8,2742.0,2813.0,15.7,61.2,129.5,198.89
2018-01-04,2018,1,Winter,Chickpea,Comilla,83.52,28.9,4813.0,4335.0,18.9,65.3,112.6,86.19
2018-01-04,2018,1,Winter,Eggplant,Rajshahi,64.98,72.4,2145.0,2292.0,20.2,46.0,101.6,65.5
2018-01-04,2018,1,Winter,Cauliflower,Rangpur,23.74,31.7,4356.0,3263.0,19.4,59.6,126.0,20.39
2018-01-04,2018,1,Winter,Cauliflower,Mymensingh,21.25,25.6,1647.0,1706.0,19.9,45.9,39.7,19.38
2018-01-05,2018,1,Winter,Rice,Chittagong,110.0,77.9,4931.0,5945.0,20.9,56.6,130.7,110.0
2018-01-06,2018,1,Winter,Chickpea,Barisal,96.39,71.2,4443.0,4385.0,22.5,54.3,56.6,97.94
2018-01-06,2018,1,Winter,Onion,Mymensingh,65.62,44.3,2015.0,1588.0,15.9,70.5,12.1,65.17
2018-01-06,2018,1,Winter,Lentil,Rajshahi,,55.0,5454.0,5411.0,24.2,72.1,72.7,196.68
2018-01-06,2018,1,Winter,Cabbage,Chittagong,10.37,59.1,1617.0,1954.0,22.0,60.6,42.2,10.22
2018-01-06,2018,1,Winter,Wheat,Dhaka,90.0,58.7,2344.0,2730.0,17.6,63.4,84.7,90.0
2018-01-06,2018,1,Winter,Eggplant,Barisal,53.82,39.5,4585.0,5696.0,22.5,49.0,137.0,57.7
2018-01-07,2018,1,Winter,Onion,Khulna,28.42,29.1,3799.0,4839.0,16.9,59.9,93.0,28.53
2018-01-07,2018,1,Winter,Rice,Chittagong,106.99,47.7,2677.0,2418.0,24.9,70.4,11.6,110.0
2018-01-07,2018,1,Winter,Cauliflower,Comilla,15.0,16.2,4733.0,4450.0,24.7,68.8,147.6,15.0
2018-01-07,2018,1,Winter,Tomato,Sylhet,31.21,78.1,4703.0,3396.0,16.9,53.8,61.8,28.15
2018-01-08,2018,1,Winter,Eggplant,Mymensingh,70.0,72.4,3590.0,3579.0,19.8,73.8,125.8,70.0
2018-01-08,2018,1,Winter,Rice,Barisal,106.06,76.2,3953.0,2849.0,23.8,54.6,100.0,106.03
2018-01-09,2018,1,Winter,Potato,Rangpur,21.35,17.4,1874.0,1503.0,24.4,71.8,19.2,22.0
2018-01-09,2018,1,Winter,Cabbage,Gazipur,13.71,71.5,1561.0,1374.0,20.4,69.9,132.3,10.0
2018-01-09,2018,1,Winter,Rice,Gazipur,110.0,21.7,2009.0,1959.0,17.1,61.7,9.6,108.41
2018-01-10,2018,1,Winter,Chickpea,Gazipur,87.64,46.4,3726.0,4092.0,16.0,72.3,40.7,91.79
2018-01-10,2018,1,Winter,Cabbage,Comilla,12.09,44.2,3647.0,3022.0,18.3,65.9,106.1,10.08
2018-01-10,2018,1,Winter,Potato,Barisal,30.18,53.2,4537.0,4946.0,18.5,69.6,51.8,36.1
2018-01-10,2018,1,Winter,Cabbage,Rangpur,16.45,65.4,2818.0,3580.0,17.2,70.6,105.8,15.34
2018-01-10,2018,1,Winter,Wheat,Rangpur,88.84,68.9,2427.0,3063.0,24.7,68.0,66.3,86.8
2018-01-11,2018,1,Winter,Cauliflower,Gazipur,21.99,12.6,4391.0,4349.0,17.2,59.0,17.3,20.82
2018-01-11,2018,1,Winter,Eggplant,Sylhet,46.69,55.2,5093.0,3932.0,23.9,55.5,?,44.57
2018-01-11,2018,1,Winter,Rice,Comilla,110.0,55.5,2493.0,2392.0,23.3,58.1,31.3,110.0
